City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
165,Bandarbeyla,SO,74.82,clear sky,9.4942,50.8122,JABIR HOTEL
167,Maues,BR,74.7,overcast clouds,-3.3836,-57.7186,Hotel Miramar
169,Hualmay,PE,70.93,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
175,Castro,BR,61.34,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
177,Victoria,HK,73.0,clear sky,22.2855,114.1577,Mini Hotel Central
179,Huambo,AO,61.9,light rain,-12.7761,15.7392,SiSHotel
186,Mount Gambier,AU,62.6,overcast clouds,-37.8333,140.7667,Commodore on the Park
188,Sokode,TG,76.05,overcast clouds,8.9833,1.1333,فندق ايسوفا سوكودى
194,Bubaque,GW,78.51,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
195,Carthage,TN,60.8,few clouds,36.8611,10.3316,Dar Fatma
196,East London,ZA,72.25,broken clouds,-33.0153,27.9116,Tu Casa
197,Arlit,NE,61.77,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
200,Biltine,TD,62.91,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
202,Kruisfontein,ZA,63.0,clear sky,-34.0033,24.7314,Oyster Bay House Rental
210,Port Lincoln,AU,63.21,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
212,San Cristobal,VE,66.36,overcast clouds,7.7669,-72.225,Pirineos
213,El Campo,US,61.0,clear sky,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
218,Matara,LK,75.43,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
219,Cayenne,GF,77.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
226,Chongwe,ZM,64.8,light rain,-15.3292,28.682,Grakas Lodge
231,Wamba,NG,72.82,broken clouds,8.9333,8.6,Roma Zee Guest House Annex
234,Arraial Do Cabo,BR,72.1,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
236,Ormara,PK,66.07,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
237,Naze,JP,61.03,clear sky,28.3667,129.4833,奄美ポートタワーホテル
240,Claveria,PH,79.75,scattered clouds,18.6074,121.0832,Casa Grand Inn By The Sea
243,Pimenta Bueno,BR,72.75,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
