City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Colares,PT,2021-02-02 23:50:01,38.7992,-9.4469,60.01,93,99,21.0
182,Pangkalanbuun,ID,2021-02-02 23:51:21,-2.6833,111.6167,76.8,93,100,3.24
183,Shache,CN,2021-02-02 23:51:21,38.4167,77.2406,26.35,80,100,1.23
184,San Rafael,AR,2021-02-02 23:51:21,-34.6177,-68.3301,69.58,37,7,4.85
185,Polohy,UA,2021-02-02 23:51:21,47.4844,36.2536,45.99,93,97,2.66
186,Tuatapere,NZ,2021-02-02 23:51:21,-46.1333,167.6833,64.99,73,86,10.58
187,Mutuipe,BR,2021-02-02 23:51:21,-13.2286,-39.5047,71.78,95,63,2.8
188,Nhulunbuy,AU,2021-02-02 23:51:21,-12.2333,136.7667,82.4,83,75,6.91
189,Wabag,PG,2021-02-02 23:51:22,-5.4781,143.7021,57.43,91,100,1.9
190,Kulhudhuffushi,MV,2021-02-02 23:51:22,6.6221,73.07,80.28,75,36,2.42
191,Uruana,BR,2021-02-02 23:51:22,-15.4981,-49.6875,73.85,85,100,1.5
192,Los Lunas,US,2021-02-02 23:51:22,34.8062,-106.7334,66.99,29,75,3.69
193,Takaka,NZ,2021-02-02 23:51:22,-40.85,172.8,72.0,70,1,3.0
194,Marabba,SD,2021-02-02 23:51:22,12.35,32.1833,76.86,19,0,7.67
195,Araouane,ML,2021-02-02 23:51:22,18.9048,-3.5265,70.27,22,48,9.75
196,Pangai,TO,2021-02-02 23:51:22,-19.8,-174.35,84.2,84,75,8.05
197,Cherskiy,RU,2021-02-02 23:51:22,68.75,161.3,-1.52,85,0,2.77
198,Pavilosta,LV,2021-02-02 23:51:23,56.8879,21.1859,33.8,75,75,8.05
199,Arlit,NE,2021-02-02 23:51:23,18.7369,7.3853,64.08,24,0,7.49
200,Beyneu,KZ,2021-02-02 23:51:23,45.3167,55.2,38.89,69,87,13.04
201,Lalmohan,BD,2021-02-02 23:51:23,22.3384,90.7419,61.43,54,0,8.1
202,Bengkulu,ID,2021-02-02 23:51:23,-3.8004,102.2655,75.88,86,100,6.24
203,Ancud,CL,2021-02-02 23:51:23,-41.8697,-73.8203,68.0,52,0,16.11
204,Calatayud,ES,2021-02-02 23:51:23,41.3535,-1.6432,57.2,81,0,2.3
205,Bandar,ID,2021-02-02 23:51:24,2.05,99.75,71.87,92,97,1.97
206,Coihaique,CL,2021-02-02 23:49:38,-45.5752,-72.0662,75.2,43,0,3.44
207,Prince Rupert,CA,2021-02-02 23:51:24,54.3161,-130.3201,46.4,49,20,8.05
208,Saskylakh,RU,2021-02-02 23:48:52,71.9167,114.0833,-2.88,91,100,14.2
209,Kununurra,AU,2021-02-02 23:51:24,-15.7667,128.7333,82.4,94,97,3.44
210,Manicaragua,CU,2021-02-02 23:51:25,22.1494,-79.9736,68.0,59,0,9.22
211,Katherine,AU,2021-02-02 23:51:25,-14.4667,132.2667,82.4,78,75,6.91
212,Hithadhoo,MV,2021-02-02 23:49:07,-0.6,73.0833,81.9,71,72,4.16
213,Glushkovo,RU,2021-02-02 23:51:25,51.3392,34.6328,19.94,98,90,4.81
214,Gualaquiza,EC,2021-02-02 23:51:25,-3.4,-78.55,67.06,88,71,1.23
215,Omsukchan,RU,2021-02-02 23:51:25,62.5333,155.8,-29.13,81,100,6.29
216,Alta Floresta,BR,2021-02-02 23:51:25,-9.8756,-56.0861,74.61,90,99,0.16
217,Melfort,CA,2021-02-02 23:51:25,52.8667,-104.6177,21.2,86,100,4.61
218,Terrace,CA,2021-02-02 23:51:26,54.5163,-128.6035,32.0,74,75,16.11
