City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
528,Harare,ZW,-17.8294,31.0539,63.0,91,88,1.99,overcast clouds
529,Cap Malheureux,MU,-19.9842,57.6142,75.0,86,2,3.0,clear sky
530,Laguna,US,38.421,-121.4238,62.6,48,1,4.61,clear sky
531,Metro,ID,-5.1131,105.3067,79.97,81,96,14.85,overcast clouds
532,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,scattered clouds
533,Kushmurun,KZ,52.4503,64.6311,7.21,90,91,21.14,overcast clouds
534,Huarmey,PE,-10.0681,-78.1522,71.1,77,100,6.91,overcast clouds
535,Susanville,US,40.4163,-120.653,42.8,65,1,8.05,clear sky
536,Rondonopolis,BR,-16.4708,-54.6356,74.57,72,90,1.74,overcast clouds
537,Allapalli,IN,19.4167,80.0667,60.31,49,67,2.26,broken clouds
538,Kupang,ID,-10.1667,123.5833,84.2,84,75,10.36,broken clouds
539,Las Vegas,US,36.175,-115.1372,66.2,16,1,5.75,clear sky
540,Lasa,IT,46.6166,10.7002,39.0,100,100,5.44,light rain
541,Ust-Ishim,RU,57.6935,71.1665,30.43,98,100,12.68,snow
542,Parabel,RU,58.6978,81.4825,32.18,97,100,13.13,overcast clouds
543,Bodden Town,KY,19.2833,-81.25,81.0,78,20,10.36,few clouds
544,Mnogovershinnyy,RU,53.9353,139.9242,-0.18,93,100,7.63,light snow
545,General Roca,AR,-39.0333,-67.5833,78.8,61,0,9.26,clear sky
546,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.89,90,2,0.87,clear sky
547,Kokino,RU,52.4964,34.7808,-5.82,91,12,7.67,few clouds
548,Nimaparha,IN,20.0667,86.0167,64.4,77,0,3.44,mist
549,Hope,US,33.6671,-93.5916,45.0,76,97,5.99,overcast clouds
550,Karasjok,NO,69.4719,25.5112,23.0,86,75,25.32,light rain
551,Zapolyarnyy,RU,69.4154,30.8136,24.8,86,75,26.46,snow
552,Stornoway,GB,58.2093,-6.3865,37.4,70,75,18.41,broken clouds
553,Linaon,PH,9.9499,122.4483,81.21,76,56,11.18,broken clouds
554,Portadown,GB,54.4241,-6.4412,39.2,87,75,18.41,broken clouds
555,Uhlove,UA,44.8215,33.6045,37.0,83,100,1.01,overcast clouds
556,Svetlogorsk,BY,52.6333,29.7333,0.16,93,3,5.37,clear sky
557,Maldonado,UY,-34.6667,-54.9167,66.99,88,20,3.44,few clouds
558,Aquiraz,BR,-3.9014,-38.3911,80.6,78,40,6.91,scattered clouds
559,Pushkino,RU,56.0172,37.8667,1.4,78,40,8.95,light snow
560,Ubrique,ES,36.6778,-5.446,53.6,93,90,4.61,overcast clouds
561,Lanzhou,CN,36.0564,103.7922,35.01,35,100,0.43,overcast clouds
562,Marsala,IT,37.7966,12.4352,66.0,59,0,20.71,clear sky
563,Zhovti Vody,UA,48.3473,33.5003,19.4,73,0,8.95,clear sky
564,Teya,RU,60.3778,92.6267,20.86,94,90,8.7,overcast clouds
565,Lata,PT,40.1629,-8.3327,50.0,66,40,12.66,scattered clouds
566,Rio De Janeiro,BR,-22.9028,-43.2075,78.01,88,75,4.61,broken clouds
567,Saldanha,ZA,-33.0117,17.9442,64.4,88,0,6.91,clear sky
568,Vagur,FO,61.4732,-6.8119,37.02,77,100,20.51,overcast clouds
569,Sterling,US,39.0062,-77.4286,39.99,56,90,4.61,overcast clouds
570,San Lawrenz,MT,36.0553,14.204,63.0,88,0,9.22,clear sky
571,Adana,TR,36.985,35.2881,50.0,100,40,3.44,scattered clouds
572,Kyzyl-Suu,KG,42.3414,78.0056,31.15,82,100,6.64,overcast clouds
573,Paita,PE,-5.0892,-81.1144,74.79,76,100,12.59,overcast clouds
574,Trabzon,TR,40.9167,39.8333,51.8,58,0,3.44,clear sky
575,Mana,GF,5.6592,-53.7767,77.16,87,100,12.41,moderate rain
576,Galveston,US,29.3669,-94.9669,60.01,94,1,4.61,clear sky
577,Yermolino,RU,55.1949,36.5951,-2.2,78,75,11.18,broken clouds
578,Yerbogachen,RU,61.2767,108.0108,-0.15,92,100,10.89,light snow
579,Odweyne,SO,9.4092,45.064,62.91,58,0,11.9,clear sky
580,Salta,AR,-24.7859,-65.4117,71.6,68,40,3.44,scattered clouds
581,Polunochnoye,RU,60.8697,60.4153,-18.09,89,100,12.64,light snow
582,Alta Floresta,BR,-9.8756,-56.0861,70.74,99,100,2.26,overcast clouds
583,Pokrovskoye,RU,47.4157,38.8971,25.68,85,33,9.46,scattered clouds
584,Nizwa,OM,22.9333,57.5333,48.79,64,0,0.72,clear sky
585,Am Timan,TD,11.0297,20.2827,62.74,28,49,7.83,scattered clouds
586,La Ronge,CA,55.1001,-105.2842,-23.8,62,43,5.75,scattered clouds
587,Moron,AR,-34.6534,-58.6198,81.0,54,0,3.29,clear sky
588,San Andres,CO,12.5847,-81.7006,80.6,78,20,10.36,few clouds
589,Salekhard,RU,66.53,66.6019,-28.1,82,100,22.64,overcast clouds
590,Cedar City,US,37.6775,-113.0619,44.6,26,1,8.05,clear sky
591,Homer,US,59.6425,-151.5483,33.8,59,1,6.49,clear sky
592,Praya,CV,14.9215,-23.5087,68.0,64,75,20.71,broken clouds
593,Los Chiles,CR,11.0333,-84.7167,76.35,81,29,5.37,scattered clouds
594,Dubrovka,RU,53.6907,33.5071,-5.4,92,47,8.84,scattered clouds
595,Mareeba,AU,-17.0,145.4333,89.01,74,99,5.75,overcast clouds
596,San Patricio,US,28.017,-97.5169,64.4,55,1,3.44,clear sky
597,Muisne,EC,0.6,-80.0333,78.33,87,98,3.09,overcast clouds
598,Wanning,CN,18.8003,110.3967,72.27,75,22,4.23,few clouds
599,Padang,ID,-0.9492,100.3543,82.4,69,20,2.3,few clouds
600,Kinablangan,PH,7.6947,126.5503,78.93,88,100,5.95,overcast clouds
601,Atikokan,CA,48.7555,-91.6216,-17.03,85,100,10.96,overcast clouds
602,Na Wa,TH,17.4897,104.1006,68.0,77,0,3.44,clear sky
603,Aasiaat,GL,68.7098,-52.8699,19.94,87,0,24.83,clear sky
604,Tazovskiy,RU,67.4667,78.7,-25.15,86,64,10.31,broken clouds
605,Yatou,CN,37.15,122.3833,37.45,72,0,20.13,clear sky
606,Lat Yao,TH,15.751,99.7893,81.0,59,0,4.97,clear sky
607,Longyearbyen,SJ,78.2186,15.6401,15.8,86,75,12.66,broken clouds
608,Svetlaya,RU,46.5389,138.3297,11.41,84,86,7.23,overcast clouds
609,Boundiali,CI,9.5217,-6.4869,81.9,27,100,2.48,overcast clouds
610,Berdigestyakh,RU,62.0989,126.6992,-31.16,83,15,4.72,few clouds
611,Nha Trang,VN,12.25,109.1833,77.0,69,75,9.22,broken clouds
612,Mandurah,AU,-32.55,115.7,66.0,94,90,20.71,light rain
613,Sfantu Gheorghe,RO,45.8667,25.7833,41.0,85,99,7.0,overcast clouds
